drug_name,crcl_level,indication,dose,crcl_cutoff_high,crcl_cutoff_low,drug_name_short
Amoxicillin,Hemodialysis - Assumes TIW HD; give doses after HD if possible,,250 – 500mg q24h; (250-500mg SD),1000,0,
Ampicillin,Hemodialysis - Assumes TIW HD; give doses after HD if possible,,1 – 2g q12-24h,1000,0,
Ampicillin/Sulbactam,Hemodialysis - Assumes TIW HD; give doses after HD if possible,,1.5 - 3g q24h,1000,0,
Aztreonam,Hemodialysis - Assumes TIW HD; give doses after HD if possible,Any,2g x 1; then 500mg q8h,1000,0,
Cefazolin,Hemodialysis - Assumes TIW HD; give doses after HD if possible,,1g q24h OR 2g on days of HD; 3g if 3d between HD,1000,0,
Cefepime,Hemodialysis - Assumes TIW HD; give doses after HD if possible,Neutropenic fever/Serious infection,1g x1day; then 1g q24h OR 2g post HD session,1000,0,
Cefpodoxime,Hemodialysis - Assumes TIW HD; give doses after HD if possible,,200 – 400mg on days of HD,1000,0,
Ceftaroline,Hemodialysis - Assumes TIW HD; give doses after HD if possible,Endocarditis,300mg q12h,1000,0,
Ceftaroline,Hemodialysis - Assumes TIW HD; give doses after HD if possible,Not Endocarditis,200mg q12h,1000,0,
Ceftazidime,Hemodialysis - Assumes TIW HD; give doses after HD if possible,Neutropenic fever; serious infection; Pseudomonas aeruginosa,1 gm q24h or 2 gm after dialysis on dialysis days,1000,0,
Ceftazidime,Hemodialysis - Assumes TIW HD; give doses after HD if possible,Not neutropenic fever; serious infection; Pseudomonas aeruginosa,1 gm q24h or 2 gm after dialysis on dialysis days,5,0,
Ceftazidime-Avibactam,Hemodialysis; CrCl (mL/min) 5 - 15 - Assumes TIW HD; give doses after HD if possible,,940mg q24h,,,
Ceftazidime-Avibactam,Hemodialysis; CrCl (mL/min) <5 - Assumes TIW HD; give doses after HD if possible,,940mg q48h,,,
Cephalexin,Hemodialysis - Assumes TIW HD; give doses after HD if possible,,250 q12h,1000,0,
Ciprofloxacin,Hemodialysis - Assumes TIW HD; give doses after HD if possible,,IV: 400mg q24h,1000,0,
Ciprofloxacin,Hemodialysis - Assumes TIW HD; give doses after HD if possible,,PO: 250 – 500mg q24h,1000,0,
Colistin - NOT for cystic fibrosis,Hemodialysis - Assumes TIW HD; give doses after HD if possible,Any,Loading dose then 30 mg q12h,1000,0,
Colistin - for Cystic Fibrosis,Hemodialysis - Assumes TIW HD; give doses after HD if possible,mild-moderate infection,do not use,1000,0,
Colistin - for Cystic Fibrosis,Hemodialysis - Assumes TIW HD; give doses after HD if possible,severe infection,do not use,1000,0,
Dalbavancin,Hemodialysis - Assumes TIW HD; give doses after HD if possible,Acute bacterial skin and skin structure infection,1500 mg once or 1000 mg then 500 mg 7 days later,1000,0,
Daptomycin,Hemodialysis - Assumes TIW HD; give doses after HD if possible,MRSA Bacteremia,8-10 mg/kg q48h,1000,0,
Daptomycin,Hemodialysis - Assumes TIW HD; give doses after HD if possible,MSSA Bacteremia,6-8 mg/kg q48h,1000,0,
Daptomycin,Hemodialysis - Assumes TIW HD; give doses after HD if possible,Other,6-12 mg/kg q48h,1000,0,
Daptomycin,Hemodialysis - Assumes TIW HD; give doses after HD if possible,UTI,6 mg/kg q48h,1000,0,
Daptomycin,Hemodialysis - Assumes TIW HD; give doses after HD if possible,VRE Bacteremia,8-12 mg/kg q48h,1000,0,
Ertapenem,Hemodialysis - Assumes TIW HD; give doses after HD if possible,,500mg q24h (150mg SD if dose given 6h prior to HD),1000,0,
Ethambutol,Hemodialysis - Assumes TIW HD; give doses after HD if possible,,15-25mg/kg TIW,1000,0,
Fidaxomicin,Hemodialysis - Assumes TIW HD; give doses after HD if possible,,200mg  q12h,1000,0,
Fosfomycin,Hemodialysis - Assumes TIW HD; give doses after HD if possible,Cystitis,do not use due to risk of ineffectiveness,1000,0,
Imipenem/Cilastatin,Hemodialysis - Assumes TIW HD; give doses after HD if possible,,250 – 500mg q12h,1000,0,
Isoniazid,Hemodialysis - Assumes TIW HD; give doses after HD if possible,,300mg q24h,1000,0,
Levofloxacin,Hemodialysis - Assumes TIW HD; give doses after HD if possible,Cystitis,500mg x 1; 250mg q48h on day 3,1000,0,
Linezolid,Hemodialysis - Assumes TIW HD; give doses after HD if possible,,600mg q12h,1000,0,
Meropenem,Hemodialysis - Assumes TIW HD; give doses after HD if possible,Cystic fibrosis / meningitis,1gm q24h,1000,0,
Meropenem,Hemodialysis - Assumes TIW HD; give doses after HD if possible,Neutropenic fever or Serious infection,500-1000 mg q24h,1000,0,
Metronidazole,Hemodialysis - Assumes TIW HD; give doses after HD if possible,,500mg q8h,1000,0,
Minocycline,Hemodialysis - Assumes TIW HD; give doses after HD if possible,,200mg x1; then 100mg q12,1000,0,
Moxifloxacin,Hemodialysis - Assumes TIW HD; give doses after HD if possible,,400mg daily,1000,0,
Nafcillin,Hemodialysis - Assumes TIW HD; give doses after HD if possible,Any,2gm q4h or 12gm daily as a continuous infusion,1000,0,
Nitrofurantoin,Hemodialysis - Assumes TIW HD; give doses after HD if possible,Cystitis,Do not use due to risk of ineffectiveness and concern for toxicity.,1000,0,
Oseltamivir,Hemodialysis - Assumes TIW HD; give doses after HD if possible,Prophylaxis,30mg after alternate HD cycles; (e.g. MWF dialysis then give dose on M and F),1000,0,
Oseltamivir,Hemodialysis - Assumes TIW HD; give doses after HD if possible,Treatment,30mg after each dialysis session,1000,0,
Penicillin G Potassium,Hemodialysis - Assumes TIW HD; give doses after HD if possible,Endocarditis/ Neurosyphillis/NSTI,2 mU q4-6h OR 8-12 mU over 24 hrs,1000,0,
Piperacillin/Tazobactam,Hemodialysis - Assumes TIW HD; give doses after HD if possible,Any,3.375g q12h infused over 4 hours,1000,0,
Pyrazinamide,Hemodialysis - Assumes TIW HD; give doses after HD if possible,,25-35mg/kg –TIW,1000,0,
Rifabutin,Hemodialysis - Assumes TIW HD; give doses after HD if possible,,300mg q24h,1000,0,
Tigecycline,Hemodialysis - Assumes TIW HD; give doses after HD if possible,,100mg x1; 50mg q12h,1000,0,
Trimethoprim/Sulfamethoxazole,Hemodialysis - Assumes TIW HD; give doses after HD if possible,PJP prophylaxis,1 SS tab q48h,1000,0,
Trimethoprim/Sulfamethoxazole,Hemodialysis - Assumes TIW HD; give doses after HD if possible,Treatment of PJP or Stenotrophomonas,5 mg TMP/kg q24h,1000,0,
Vancomycin,Hemodialysis,Not critically ill,Loading dose then obtain vancomycin levels before dialysis and re-dose after dialysis if <15 mcg/mL,1000,0,
