drug_name,crcl_level,indication,dose,crcl_cutoff_high,crcl_cutoff_low,drug_name_short
Vancomycin,60 – 100,critically ill,loading dose based on weight followed by 15-20mg/kg q12h,100,60,
Lamivudine (3TC),30 – 50,,1150mg daily,50,30,Lamivudine
Lamivudine (3TC),15 – 30,,150mg first dose; then 100mg daily,30,15,Lamivudine
Descovy (FTC/TAF) 200/25 mg,> 30,,1 tablet daily,2000,30,Descovy
Lamivudine (3TC),> 50,,150mg q12h or 300mg daily,2000,50,Lamivudine
Ceftriaxone,all CrCl values,SBP / osteo,2g q24h,2000,0,
Ampicillin/Sulbactam,<10,,1.5 – 3g q24h,10,0,
Zidovudine (AZT),<15,,300mg daily,15,0,AZT
Combivir (3TC/AZT) 150/300 mg,<50,,Not recommended. Consider use individual components and adjust for CrCl.,50,0,Combivir
Descovy (FTC/TAF) 200/25 mg,<30,,not recommended,30,0,Descovy
Lamivudine (3TC),<15,,150mg first dose; then 50mg daily,15,0,Lamivudine
Ceftazidime-Avibactam,<5,,940mg q48h,5,0,
Tenofovir disoproxil (TDF),30 – 50,,300mg q48h,50,30,TDF
Tenofovir disoproxil (TDF),10 – 30,,300mg twice weekly (q72-96h),30,10,TDF
Cefepime,30 – 60,neutropenic fever / serious infection,1 – 2g q12–24h,60,30,
Amoxicillin/Clavulanate,10 – 30,,250 - 500mg q12h,30,10,
Colistin - NOT for cystic fibrosis,<20,,150mg q48h,20,0,
Dalfopristin/Quinupristin,all CrCl values,,7.5mg/kg q8–12h,2000,0,
Colistin - for Cystic Fibrosis,> 50,mild-moderate infection,75mg q12,2000,50,
Aztreonam,> 30,cystic fibrosis,2g q6h,2000,30,
Meropenem,> 50,neutropenic fever or serious infection,1 – 2g q8h,2000,50,
Tenofovir disoproxil (TDF),> 50,,300mg daily,2000,50,TDF
Epzicom (ABC/3TC) 600/300 mg,> 50,,1 tablet daily,2000,50,Epzicom
Tenofovir alafenamide (TAF),> 15,,25mg daily,2000,15,TAF
Dalbavancin,<30,acute bacterial skin and skin structure infection,1125mg once or 750mg then 375mg 7 days later,30,0,
Ceftolozane-tazobactam,<10,,loading dose 1.5 g x 1; followed by maintenance dose 300mg q8h,10,0,
Rifampin,<10,mycobacterial infection or prosthetic joint infection,600mg q24h; if hepatic failure and CrCl<10 discuss w/ pharmacy,10,0,
Daptomycin,<30,MSSA bacteremia,6 – 8mg/kg q48h,30,0,
Colistin - for Cystic Fibrosis,< 20,severe infection,150mg q48h,20,0,
Oseltamivir,30 – 60,treatment,30mg q12h,60,30,
Oseltamivir,30 – 60,prophylaxis,30mg q24h,60,30,
Levofloxacin,20 – 50,cystitis,500mg x1; 250mg q24h on day 2,50,20,
Emtricitabine (FTC),30 – 50,,capsule - 200mg q48h; solution - 120mg Q24h,50,30,FTC
Aztreonam,10 – 30,any,2g x 1; 0.5 – 1g q8h,30,10,
Ampicillin/Sulbactam,10 – 30,,1.5 – 3g q12h,30,10,
Ampicillin/Sulbactam,30 – 50,,1.5 – 3g q8h,50,30,
Amoxicillin,10 – 30,,250 – 1000mg q12h,30,10,
Efavirenz (EFV),all CrCl values,,200mg q12h,2000,0,EFV
Nevirapine (NVP),> 15,,initial dosing: 200mg daily; maintenance: 200mg q12h,2000,15,NVP
Atazanavir (ATV),all CrCl values,,400mg daily; 300mg daily (w/ ritonavir 100mg),2000,0,ATV
Isoniazid,all CrCl values,,300mg q24h,2000,0,
Levofloxacin,all CrCl values,pyelonephritis,do not use,2000,0,
Linezolid,all CrCl values,,600mg q12h,2000,0,
Minocycline,all CrCl values,,200mg x 1; then 100mg q12,2000,0,
Moxifloxacin,all CrCl values,,400mg daily,2000,0,
Ampicillin/Sulbactam,> 50,,1.5 – 3g q6h,2000,50,
Azithromycin,all CrCl values,,500mg x1day; 250 – 500mg q24h,2000,0,
Levofloxacin,> 50,cystitis,250 – 500mg q24h,2000,50,
Daptomycin,> 30,MRSA bacteremia,8 – 10mg/kg q24h,2000,30,
Aztreonam,> 30,NOT cystic fibrosis or neutropenic fever,2g q6-8h,2000,30,
Ampicillin,> 50,,1 – 2g q4–6h,2000,50,
Nitrofurantoin,> 30,cystitis,100mg BID,2000,30,
Nitrofurantoin,all CrCl values,pyelonephritis,do not use,2000,0,
Emtricitabine (FTC),> 50,,capsule - 200mg daily; solution - 240mg daily,2000,50,FTC
Aminoglycosides,all CrCl values,,Consult pharmacy for dosing recommendations for amikacin; gentamicin; tobramycin; or streptomycin.,2000,0,
Aztreonam,> 30,neutropenic fever,2g q8h,2000,30,
Flucytosine,> 40,,25mg/kg q6h,2000,40,Flucytosine
Nevirapine (NVP),<15,,not studied,15,0,NVP
Levofloxacin,<20,cystitis,500mg x1; 250mg q48h on day 3,20,0,
Ampicillin,<10,,1 – 2g q12–24h,10,0,
Aztreonam,<10,any,2g x 1 then 500mg q8h,10,0,
Nitrofurantoin,<30,cystitis,Do not use due to risk of ineffectiveness and concern for toxicity.,30,0,
Oseltamivir,<30,prophylaxis,30mg q48h,30,0,
Oseltamivir,<30,treatment,30mg q24h,30,0,
Amoxicillin,<10,,250 – 1000mg q24h,10,0,
Vancomycin,40 – 60,critically ill,loading dose based on weight followed by 15-20mg/kg q12-24h,60,40,
Vancomycin,40 – 60,NOT critically ill,loading dose based on weight followed by 15-20mg/kg q12-24h,60,40,
Vancomycin,15 – 40,NOT critically ill,loading dose based on weight followed by 15-20mg/kg q24-48h,40,15,
Vancomycin,15 – 40,critically ill,loading dose based on weight followed by 15-20mg/kg q24-48h,40,15,
Meropenem,10 – 25,cystic fibrosis / meningitis,1g q12h,25,10,
Imipenem/Cilastatin,10 – 50,,500mg q8–12h,50,10,
Ciprofloxacin,<10,,IV: 200mg q12h,10,0,
Ciprofloxacin,<10,,PO: 250mg q12h,10,0,
Idalizumab; IV (IBA),<50,,not studied,50,0,IBA
Ertapenem,<30,,500mg q24h,30,0,
Ceftazidime,<5,neutropenic fever / serious infection / pseudomonas aeruginosa,1g q48h,5,0,
Ceftaroline,<15,endocarditis,300mg q12h,15,0,
Colistin - for Cystic Fibrosis,20 – 50,severe infection,150mg q24h,50,20,
Ciprofloxacin,10 – 30,,IV: 10 – 30: 400mg q12h,30,10,
Ciprofloxacin,10 – 30,,PO: 10 – 30: 250 – 500mg q12h,30,10,
Cephalexin,10 – 50,,250 – 500mg q12h,50,10,
Ceftazidime-Avibactam,15 – 30,,940mg q12h,30,15,
Ceftazidime,15 – 30,neutropenic fever / serious infection / pseudomonas aeruginosa,2g q24h,30,15,
Ceftaroline,30 – 50,NOT endocarditis,400mg q12h,50,30,
Daptomycin,> 30,VRE bacteremia,8 – 12mg/kg q24h,2000,30,
Ethambutol,> 30,,15 – 25mg/kg q24h,2000,30,
Fidaxomicin,all CrCl values,,200mg  q12h,2000,0,
Delstrigo (DOR/3TC/TDF) 100/300/300 mg,> 50,,1 tablet daily,2000,50,
Cephalexin,> 50,,250 – 500mg q6h,2000,50,
Ciprofloxacin,> 30,,IV: 400mg q8-12h,2000,30,
Idalizumab; IV (IBA),> 50,,load: 2000mg; maintenance: 800mg Q2 weeks,2000,50,IBA
Ceftaroline,<15,NOT endocarditis,200mg q12h,15,0,
Oseltamivir,> 60,prophylaxis,75mg q24h,2000,60,
Isavuconazonium sulfate,all CrCl values,,initial: 372mg q8h x 6 doses; maintenance: 372mg q24h,2000,0,Isavuconazonium sulfate
Metronidazole,all CrCl values,,500mg q8h,2000,0,Metronidazole
Amoxicillin,> 30,,250 – 1000mg q8h,2000,30,
Amoxicillin/Clavulanate,> 30,,875mg q12h,2000,30,
Ceftaroline,> 50,endocarditis,600mg q8h,2000,50,
Ceftaroline,> 50,NOT endocarditis,600mg q12h,2000,50,
Ceftaroline,15 – 30,endocarditis,300mg q8h,30,15,
Cefpodoxime,10 – 30,,200 – 400mg q24h,30,10,
Cefepime,10 – 30,neutropenic fever / serious infection,0.5 – 2g q24h,30,10,
Cefazolin,10 – 30,,2g q12h,30,10,
Micafungin,all CrCl values,esophageal candidiasis,150mg q24h,2000,0,Micafungin
Trimethoprim/Sulfamethoxazole,> 30,treatment of PJP or stenotrophomonas,15mg TMP/kg/day divided in q8h doses,2000,30,
Cefazolin,> 30,,2g q8h,2000,30,
Cefepime,> 60,neutropenic fever / serious infection,2g q8h,2000,60,
Cefpodoxime,> 30,,200 – 400mg q12h,2000,30,
Dapsone,all CrCl values,,100mg daily,2000,0,
Biktarvy (BIC/FTC/TAF) 50/200/25 mg,> 30,,1 tablet daily,2000,30,Biktarvy
Dovato (DTG/3TC) 50/300 mg,> 50,,1 tablet daily,2000,50,Dovato
